obj,1020
estimated,1019
sms,1017
pushed,1017
hdg,1016
shadow,1015
nco,1015
xhe,1014
korengal,1013
identify,1009
asadabad,1008
searching,1006
hawk,1005
rof,1005
floor,1004
agreed,1003
affairs,1002
process,998
suspect,998
sc,996
too,995
fox,994
regarding,994
include,993
lack,993
sva,991
bde,989
prevent,988
un,988
receive,987
ghar,986
low,985
digging,985
uav,985
blasting,983
determine,983
q,982
thor,981
bring,981
ir,980
unclassified,980
rear,979
bcp,976
contractors,975
jug,974
terp,973
zmar,972
money,972
ali,971
sangin,970
kowt,968
naray,963
pegasus,963
exploded,963
matal,963
nm,961
shkin,959
bsn,959
attend,958
positive,958
amount,958
margah,957
bomber,956
jbad,956
svbied,955
document,954
attended,954
dispatched,953
disposal,953
start,952
details,951
contacted,951
id,950
range,950
ltc,949
leadership,947
southwest,947
med,946
got,943
cave,941
scheduled,941
pao,941
framework,940
sapper,938
pol,938
gave,935
having,935
yes,934
exfil,934
contract,933
care,933
visited,931
ago,931
spoke,926
lost,925
lowell,923
usaid,923
female,922
demonstration,922
buffalo,920
gde,920
dtg,920
army,920
pir,920
third,919
wrapped,919
ensure,918
uk,918
french,918
ongoing,917
assigned,916
list,916
garmser,916
june,916
rgr,915
husky,912
problems,912
wheels,912
ch,912
getting,911
questioning,910
posted,909
chest,908
zaug,908
viper,907
northeast,906
jtac,906
sabari,905
patients,903
actions,903
armed,902
snv,900
container,900
sitrep,900
carrying,898
kill,898
full,897
done,897
rnd,896
zapr,894
attempt,894
ambushed,892
remaining,891
according,890
observation,888
lb,888
signs,887
toward,887
hot,887
pick,886
distribution,886
officials,885
self,884
fatality,884
opportunity,884
lilley,882
nearby,882
tree,881
nature,880
attendees,879
shah,879
those,879
stories,879
public,879
barge,877
child,876
schools,873
officers,873
resupply,873
ijc,870
ceremony,869
preparing,869
heading,868
workers,868
guard,868
zsep,867
believe,867
diamondback,867
tc,866
six,865
want,864
lethal,861
denali,859
xc,857
npcc,855
mey,855
gunner,854
class,854
robinson,853
waiting,853
moi,852
awaiting,851
connected,851
listed,850
stryker,850
cobra,849
chatter,847
recieving,846
compounds,844
person,843
aid,843
initiated,842
launch,842
pwrr,841
attachment,841
led,840
min,839
bad,839
opns,839
asset,839
safires,836
item,836
months,834
shank,834
trail,833
presented,832
gen,831
jtf,831
explosions,829
radar,829
category,829
wrecker,828
causing,828
different,828
trip,828
laghman,827
protector,826
restrepo,825
picked,823
persons,823
wanted,823
occp,821
explained,819
landmine,814
problem,813
submitted,813
commanders,813
burst,812
investigated,812
sending,811
acquired,811
headlines,810
representative,809
mes,808
uh,807
gpmg,807
yukon,807
gg,806
mr,806
short,805
munitions,805
msl,804
toyota,804
build,802
landing,800
put,799
leading,799
points,799
trp,799
across,799
years,798
emplaced,798
blown,798
canal,798
southeast,797
ghz,796
wa,796
talk,796
talked,795
kunar,795
wilson,794
ran,794
isr,793
remains,792
tarin,792
cut,791
food,791
kajaki,791
ministry,791
fra,789
bsb,787
including,786
doing,784
roads,782
built,782
own,781
chain,779
visual,779
earlier,779
associated,779
population,778
concerns,777
goa,777
making,775
oh,775
recoilless,775
tactical,774
cap,774
either,774
efforts,774
pay,772
objective,771
remote,771
materials,771
family,770
bct,770
home,768
appears,768
rrf,767
medcap,766
vt,764
lancs,763
better,762
plans,760
iaw,759
hostile,755
kcp,750
case,750
political,750
kandak,750
duke,749
expenditure,748
fam,748
securing,748
sweep,747
girls,747
much,746
observer,746
tube,745
town,743
rw,743
giroa,743
roe,742
tire,742
disabled,742
vitals,741
ref,741
yorks,740
vcp,739
electrical,737
fst,737
anything,735
coordinated,735
weeks,735
herat,735
systems,734
az,734
sha,733
info,732
pbg,732
bdar,732
wolfpack,728
pmo,728
usfor,726
occ,726
kot,725
civil,725
students,724
esf,724
deg,722
titan,722
fu,721
irrigation,721
reconnaissance,720
freq,720
winter,719
give,719
ready,718
surrounding,718
ranger,717
musa,716
monti,715
wilderness,715
families,713
echo,713
unconfirmed,713
discovery,713
destroyer,713
drafter,711
electric,710
escorted,710
corps,709
data,709
sar,709
rp,708
civilians,707
zjan,707
supply,707
coldblood,707
allow,705
tl,704
central,703
etc,703
northwest,702
look,701
maj,701
mrtf,700
death,699
rua,698
fuses,698
vanguard,698
rg,698
must,698
pulled,697
protection,696
fact,696
lar,696
marines,692
month,691
origin,691
distance,691
motorcycles,691
unama,690
believes,689
surveillance,689
swa,689
weather,687
change,687
sigint,686
least,685
ph,684
pieces,684
tracer,684
additionally,683
included,683
increase,683
zjun,683
remain,682
material,681
kts,681
duty,680
poppy,680
sporadic,680
hhb,679
separate,679
press,678
section,677
lot,677
tof,677
such,673
dismounts,672
operating,672
shell,672
far,672
raptor,671
ii,671
bamyan,670
looking,670
strand,670
establish,669
meetings,669
repair,669
kits,669
improvised,668
rest,668
locate,668
leaving,667
addition,666
cs,665
custody,665
airborne,663
economic,662
products,662
keating,661
investigating,660
pdc,660
parts,659
dustoff,659
heat,658
fight,657
vd,656
javelin,654
speed,654
blood,654
hellfire,653
rep,652
view,652
previously,651
transport,651
qr,651
mgrs,650
various,650
march,649
pro,649
continues,649
covered,647
spd,646
potential,646
anap,645
room,645
ita,645
targets,645
hoax,644
feet,644
hold,644
southern,644
below,643
enough,642
leave,642
supporting,640
suspects,637
intended,636
international,636
price,636
tac,636
yet,635
keep,634
extracted,634
delivered,634
even,634
captured,634
minister,633
tier,630
lower,629
afar,629
middle,628
big,628
traveled,627
respond,627
btlnco,627
zjul,626
populated,626
pech,625
pain,625
najil,625
updates,625
spin,624
state,623
prepared,622
checked,619
outpost,619
role,618
panther,618
dtmf,617
inspection,617
fortress,616
robot,615
tk,615
kheyl,615
males,614
note,614
tried,614
litter,614
maneuver,613
contained,612
me,612
talking,612
golf,612
iron,611
bari,610
est,609
soon,608
subject,608
kushamond,608
avoided,608
opinion,606
little,605
illumination,604
advised,603
inkerman,603
april,603
jaji,603
conference,602
maintenance,602
entered,602
teams,601
joyce,601
recently,601
missions,600
rtv,599
targeted,599
bronco,599
zfeb,597
pictures,596
ghr,596
incoming,596
failed,594
shows,594
groups,593
coordination,593
august,592
vest,591
ld,591
lashkar,591
fps,590
bone,590
shooting,590
dow,589
mwe,589
waza,588
weekly,587
rocks,587
remained,587
dstb,586
ta,586
although,586
spera,585
sight,584
detonate,584
msn,584
length,582
dead,582
rt,581
raider,581
cmd,580
scots,580
arnhem,580
region,579
country,579
unmentored,578
trigger,578
responding,578
proceeded,578
chamkani,578
pba,577
seemed,577
lnos,577
paid,576
repel,575
directly,575
son,574
jdoc,574
assessing,571
buildings,571
safety,570
filled,570
lift,570
quality,570
cutting,570
develop,569
na,568
seized,568
host,568
try,567
complex,567
pilot,566
effects,565
medops,565
oga,564
nation,564
say,564
teachers,563
performed,563
arrive,563
drivers,562
tasked,561
sotf,560
kt,560
honaker,560
evacuated,560
assault,559
comment,558
normal,558
kamdesh,558
described,557
flt,557
humint,557
probably,557
questioned,556
gain,556
guards,556
himself,556
miracle,556
eof,555
yesterday,555
talon,554
squad,553
form,553
chosen,553
dos,553
multi,551
qala,551
board,550
interpreter,549
ridgeline,549
detain,548
uxos,548
results,547
noticed,547
dshk,547
accomplished,546
roz,546
showed,546
piece,546
smt,545
runs,544
ceb,544
highway,544
predator,544
